Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Slovakia,2024.0,SPO-SK0001A_00001_500,SK0001A,17.1255,48.12471,138.0,urban,background,STA-SK0001A
Slovakia,2024.0,SPO-SK0002A_00001_500,SK0002A,17.12892,48.15837,136.0,urban,traffic,STA-SK0002A
Slovakia,2024.0,SPO-SK0008A_00001_500,SK0008A,19.30252,49.07901,475.0,urban,background,STA-SK0008A
Slovakia,2024.0,SPO-SK0020A_00001_500,SK0020A,18.77122,49.21145,356.0,urban,background,STA-SK0020A
Slovakia,2024.0,SPO-SK0025A_00001_500,SK0025A,20.24037,48.6312,289.0,urban,background,STA-SK0025A
Slovakia,2024.0,SPO-SK0037A_00001_100,SK0037A,21.91371,48.93093,160.0,urban,background,STA-SK0037A
Slovakia,2024.0,SPO-SK0039A_00001_100,SK0039A,18.92136,49.05972,383.0,urban,traffic,STA-SK0039A
Slovakia,2024.0,SPO-SK0045A_00001_100,SK0045A,17.58495,48.37123,152.0,urban,traffic,STA-SK0045A
Slovakia,2024.0,SPO-SK0047A_00001_100,SK0047A,18.04125,48.89647,214.0,urban,traffic,STA-SK0047A
Slovakia,2024.0,SPO-SK0048A_00001_100,SK0048A,17.10624,48.16796,287.0,suburban,background,STA-SK0048A
Slovakia,2024.0,SPO-SK0050A_00001_100,SK0050A,18.62813,48.7827,276.0,urban,background,STA-SK0050A
Slovakia,2024.0,SPO-SK0134A_00001_100,SK0134A,18.14064,48.28305,149.0,suburban,background,STA-SK0134A
Slovakia,2024.0,SPO-SK0214A_00001_100,SK0214A,19.15491,48.73516,346.0,urban,traffic,STA-SK0214A
Slovakia,2024.0,SPO-SK0263A_00005_100,SK0263A,19.11527,48.73326,425.0,urban,background,STA-SK0263A
Slovakia,2024.0,SPO-SK0265A_00001_100,SK0265A,20.87406,48.9156,372.0,urban,traffic,STA-SK0265A
Slovakia,2024.0,SPO-SK0266A_00005_100,SK0266A,21.26679,48.99249,252.0,urban,traffic,STA-SK0266A
Slovakia,2024.0,SPO-SK0267A_00001_100,SK0267A,21.25884,48.72627,209.0,urban,traffic,STA-SK0267A
